task,policy,success,utility,representation_error,contact_failure,latency_miss,safety_violation,morphology_loss,bottleneck_share,exception_severity,monotonic_scale_gain,scale_saturation,intervention_recovery,data_efficiency,regime_mismatch,weight
t03,oracle_bottleneck_router,0.9987975925592321,1.0,0.22483000537186829,0.022402376300765782,0.010049214032360322,0.0,0.008572867185221763,0.622319509421186,0.0,0.2018113066666639,0.0,0.6983698122709673,0.4249038968533342,0.0,2548039680
t03,regime_aware_router,0.8780426840650842,0.875969203631926,0.24977022380834132,0.13237911549741574,0.09212423496785163,0.06122749860882042,0.10487472713428604,0.622319509421186,0.0980210704550661,0.17104635860522455,0.05819774540967597,0.556382784881329,0.38615067879950066,0.12413217201695223,2548039680
t03,scale_only_foundation,0.48270373700256747,0.08202007585290909,0.29095755322204386,0.35890552493132666,0.2620572254604531,0.2844432081153081,0.3169631796623974,0.622319509421186,0.574430632302721,0.02003296045604828,0.40218743561447606,0.023489120871671935,0.3006958591319203,0.6055446163513429,2548039680
t04,contact_instrumented,0.642674199562792,0.4239508118783842,0.2750618549035211,0.11662701718187722,0.23744902881531002,0.2228073942160389,0.27472311541122413,0.6232529350606382,0.2772251538304158,0.09518645399409563,0.2298756714991053,0.24915454182598826,0.33008728197118264,0.38635908702950067,2548039680
t04,data_scaled_foundation,0.4982516173749452,0.12004341775243539,0.26403005936786,0.30445459647332845,0.28486624107873243,0.27623913168027076,0.33377045032959995,0.6232529350606382,0.5041482809455706,0.027026228585714306,0.3868440300784331,0.0291634639772142,0.30918850532131587,0.5962911454783344,2548039680
t04,embodiment_diverse_scaling,0.5718564151622328,0.2724285297308763,0.2550652356962728,0.2860400827932865,0.27078502193517956,0.26172802807315965,0.19280644201796512,0.6232529350606382,0.40690848629886395,0.05743780490853229,0.317456059349489,0.12815635306776854,0.34142487694155715,0.5001386535983334,2548039680
t04,latency_safety_guarded,0.7097740151384404,0.5697640337182969,0.2711431283857945,0.2532017180072497,0.1094370467850252,0.07048968640525596,0.28752682231318144,0.6232529350606382,0.20673996786121568,0.1224410240598572,0.16633730571605929,0.335227391966077,0.33615591072861806,0.29814460574797,2548039680
t04,oracle_bottleneck_router,0.9993660242890406,1.0,0.20983888582325827,0.020180514877830725,0.011076662513463871,0.0,0.0083227376916357,0.6232529350606382,0.0,0.2018113066666639,0.0,0.6986448839356411,0.4277979768533309,0.0,2548039680
t04,regime_aware_router,0.8829258027924114,0.8841288701428794,0.23467080157726924,0.11507411954635034,0.1012635469728941,0.060681123463116854,0.1109728345617852,0.6232529350606382,0.09810832469992159,0.17103076581988716,0.05828633700487741,0.5568177221402808,0.38903228246761895,0.12424271899445592,2548039680
t04,scale_only_foundation,0.4891495635249646,0.09344744121293054,0.2757827746792102,0.3076231741085458,0.2856493488766107,0.27903593962827566,0.3446487723322142,0.6232529350606382,0.5752900163275892,0.019866360460328993,0.402813980773288,0.02180941083322966,0.30348768206710036,0.6064506686712243,2548039680
t05,contact_instrumented,0.6493678379139055,0.4365327656134717,0.2668865865434579,0.11470804484244031,0.24344894265695147,0.22847703217895093,0.24104068114183796,0.6053663626156817,0.26940707359073024,0.09711203049710365,0.22230141939424425,0.24140626149909591,0.3330731019096281,0.37546364189000336,2548039680
t05,data_scaled_foundation,0.508994197166015,0.14141889287448747,0.25605703499009397,0.2978467261485755,0.2925859241890043,0.2819316475523683,0.29152570341898726,0.6053663626156817,0.4898307729872774,0.0301044937929138,0.37512364875209286,0.027594614845023884,0.3128558149128963,0.5793573372949091,2548039680
t05,embodiment_diverse_scaling,0.5775908569957283,0.2832141856869101,0.24795230418094255,0.2798115076891033,0.278909314977224,0.2649306901179485,0.1669647436998263,0.6053663626156817,0.4006679453368301,0.05798570606391333,0.31214125254147196,0.11909423248214063,0.3440466943036347,0.49246846609103123,2548039680
t05,latency_safety_guarded,0.7205908995834145,0.591137123242957,0.26337436814782683,0.2501278170696724,0.11343194645510804,0.07245277493870259,0.25076117404158454,0.6053663626156817,0.19394995375146132,0.1269882680883526,0.15359065869834673,0.3334032402122766,0.3399936522678019,0.27970067929763637,2548039680
t05,oracle_bottleneck_router,0.9992525074581644,1.0,0.2035928293048454,0.019950490483376226,0.009785663783524764,0.0,0.008319961207781638,0.6053663626156817,0.0,0.2018113066666639,0.0,0.6812966180318604,0.4295541368533331,0.0,2548039680
t05,regime_aware_router,0.8853109536109933,0.88791490453628,0.22794175313147982,0.11035321803986337,0.10408881262783407,0.061415361164902885,0.09919510740996207,0.6053663626156817,0.09637172426296568,0.17118227503283476,0.057068177264982395,0.5383700617392837,0.3910366212576976,0.12204372209494306,2548039680
t05,scale_only_foundation,0.49989878009064737,0.1152762825209202,0.2677504788255012,0.30155758542811256,0.2938165239991701,0.28671439681220157,0.2994840338462413,0.6053663626156817,0.5587761026483512,0.02310494592646527,0.39080794097791416,0.023144796636618156,0.3072085298334725,0.5890424836067738,2548039680
t06,contact_instrumented,0.6402098269424082,0.41741802975061576,0.2740195505741235,0.11218003496727318,0.23198677681613844,0.27445263527902164,0.20772503312877882,0.6028871721831277,0.271010949830097,0.09622023503714928,0.22385385647344397,0.23467072889101223,0.33201898264993673,0.37769826230193715,2548039680
t06,data_scaled_foundation,0.5010778480018211,0.12493146972557691,0.2618638046834843,0.28732057578656856,0.27847439515374905,0.3382008452918764,0.2533989338821559,0.6028871721831277,0.4880014401069241,0.030472225938569186,0.3736237638480627,0.027820944805188062,0.3122981405438597,0.5771931902900949,2548039680
